team1,team2,winner,,,,,,,,,,,,
Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,,,,,,,,,,,,
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,,,,,,,,,,,,
Kings XI Punjab,Gujarat Lions,Gujarat Lions,,,,,,,,,,,,
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,,,,,,,,,,,,
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,,,,,,,,,,,,
Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,,,,,,,,,,,,
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,,,,,,,,,,,,
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,,,,,,,,,,,,
Mumbai Indians,Gujarat Lions,Gujarat Lions,,,,,,,,,,,,
Rising Pune Supergiants,Kings XI Punjab,Kings XI Punjab,,,,,,,,,,,,
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,,,,,,,,,,,,
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,,,,,,,,,,,,
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,,,,,,,,,,,,
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,,,,,,,,,,,,
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,,,,,,,,,,,,
Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,,,,,,,,,,,,
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,,,,,,,,,,,,
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,,,,,,,,,,,,
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,,,,,,,,,,,,
Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,,,,,,,,,,,,
Mumbai Indians,Kings XI Punjab,Mumbai Indians,,,,,,,,,,,,
Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,,,,,,,,,,,,
Gujarat Lions,Delhi Daredevils,Gujarat Lions,,,,,,,,,,,,
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,,,,,,,,,,,,
Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,,,,,,,,,,,,
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,,,,,,,,,,,,
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,,,,,,,,
Kings XI Punjab,Gujarat Lions,Kings XI Punjab,,,,,,,,,,,,
Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,,,,,,,,,,,,
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,,,,,,,,,,,,
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,,,,,,,,,,,,
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,,,,,,,,,,,,
Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,,,,,,,,,,,,
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,,,,,,,,,,,,
Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,,,,,,,,,,,,
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,,,,,,,,,,,,
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,,,,,,,,,,,,
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,,,,,,,,,,,,
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,,,,,,,,,,,,
Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,,,,,,,,,,,,
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,,,,,,,,,,,,
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,,,,,,,,,,,,
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,,,,,,,,,,,,
Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,,,,,,,,,,,,
Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,,,,,,,,,,,,
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,,,,,,,,,,,,
Mumbai Indians,Delhi Daredevils,Mumbai Indians,,,,,,,,,,,,
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,,,,,,,,,,,,
Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,,,,,,,,,,,,
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,,,,,,,,,,,,
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,,,,,,,,,,,,
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,,,,,,,,,,,,
Kings XI Punjab,Rising Pune Supergiants,Rising Pune Supergiants,,,,,,,,,,,,
Mumbai Indians,Gujarat Lions,Gujarat Lions,,,,,,,,,,,,
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,,,,,,,,,,,,
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
